Player,Group_ID,Role,Color_Index
Jaylen Brown,20,Core,19
Jayson Tatum,20,Core,19
Marcus Smart,20,Core,19
Al Horford,20,Core,19
Derrick White,20,Core,19
Payton Pritchard,20,Member,19
Luke Kornet,20,Member,19
Robert Williams,20,Member,19
Daniel Theis,20,Member,19
Sam Hauser,20,Member,19
Grant Williams,20,Member,19
Neemias Queta,20,Member,19
JD Davison,20,Member,19
Jordan Walsh,20,Member,19
Drew Peterson,20,Member,19
Baylor Scheierman,20,Member,19
Miles Norris,20,Member,19
Amari Williams,20,Member,19
Hugo González,20,Member,19
Trae Young,21,Core,20
Clint Capela,21,Core,20
De'Andre Hunter,21,Core,20
Onyeka Okongwu,21,Core,20
Bogdan Bogdanović,21,Core,20
Jalen Johnson,21,Member,20
John Collins,21,Member,20
Bruno Fernando,21,Member,20
Kris Dunn,21,Member,20
Garrison Mathews,21,Member,20
Vit Krejci,21,Member,20
Mouhamed Gueye,21,Member,20
Dyson Daniels,21,Member,20
Jacob Toppin,21,Member,20
Kobe Bufkin,21,Member,20
Zaccharie Risacher,21,Member,20
Keaton Wallace,21,Member,20
Daeqwon Plowden,21,Member,20
Asa Newell,21,Member,20
Stephen Curry,22,Core,21
Draymond Green,22,Core,21
Kevon Looney,22,Core,21
Klay Thompson,22,Core,21
Andrew Wiggins,22,Core,21
Gary Payton II,22,Member,21
Moses Moody,22,Member,21
Jonathan Kuminga,22,Member,21
Jordan Poole,22,Member,21
Damion Lee,22,Member,21
Trayce Jackson-Davis,22,Member,21
Pat Spencer,22,Member,21
Brandin Podziemski,22,Member,21
Gui Santos,22,Member,21
Lester Quiñones,22,Member,21
Quinten Post,22,Member,21
Yuri Collins,22,Member,21
Jackson Rowe,22,Member,21
Will Richard,22,Member,21
Jarrett Allen,23,Core,22
Dean Wade,23,Core,22
Darius Garland,23,Core,22
Caris LeVert,23,Core,22
Donovan Mitchell,23,Core,22
Tristan Thompson,23,Member,22
Evan Mobley,23,Member,22
Georges Niang,23,Member,22
Isaac Okoro,23,Member,22
Sam Merrill,23,Member,22
Craig Porter Jr.,23,Member,22
Ty Jerome,23,Member,22
Pete Nance,23,Member,22
Emoni Bates,23,Member,22
Isaiah Mobley,23,Member,22
Nae'Qwan Tomlin,23,Member,22
Luke Travers,23,Member,22
Jaylon Tyson,23,Member,22
Tyrese Proctor,23,Member,22
Larry Nance Jr.,24,Core,23
Jordan Clarkson,24,Core,23
Lauri Markkanen,24,Core,23
Collin Sexton,24,Core,23
Walker Kessler,24,Core,23
Micah Potter,24,Member,23
Johnny Juzang,24,Member,23
Svi Mykhailiuk,24,Member,23
Talen Horton-Tucker,24,Member,23
Taylor Hendricks,24,Member,23
Brice Sensabaugh,24,Member,23
Keyonte George,24,Member,23
Elijah Harkless,24,Member,23
Kyle Filipowski,24,Member,23
Isaiah Collier,24,Member,23
Cody Williams,24,Member,23
Oscar Tshiebwe,24,Member,23
Walter Clayton,24,Member,23
Ace Bailey,24,Member,23
Giannis Antetokounmpo,25,Core,24
Khris Middleton,25,Core,24
Pat Connaughton,25,Core,24
Brook Lopez,25,Core,24
Bobby Portis,25,Core,24
Thanasis Antetokounmpo,25,Member,24
Jrue Holiday,25,Member,24
Donte DiVincenzo,25,Member,24
A.J. Green,25,Member,24
Malcolm Brogdon,25,Member,24
MarJon Beauchamp,25,Member,24
Ryan Rollins,25,Member,24
Andre Jackson Jr.,25,Member,24
Chris Livingston,25,Member,24
TyTy Washington Jr.,25,Member,24
Tyler Smith,25,Member,24
Liam Robbins,25,Member,24
Mark Sears,25,Member,24
Jae'Sean Tate,26,Core,25
Alperen Şengün,26,Core,25
Aaron Holiday,26,Core,25
Jabari Smith Jr.,26,Core,25
Tari Eason,26,Core,25
Jalen Green,26,Member,25
Amen Thompson,26,Member,25
Jock Landale,26,Member,25
Cam Whitmore,26,Member,25
Jeenathan Williams,26,Member,25
Reed Sheppard,26,Member,25
N'Faly Dante,26,Member,25
Jack McVeigh,26,Member,25
